2843 29 00;22199-08-2;[4-amino-N-(pyrimidin-2(1H)-ylidene-κN 1)benzenesulfonamidato-κO]silver
2932 20 90;947408-90-4;6-[(2,4-dimethoxyphenyl)carbonyl]-2H-chromen-2-one
2932 20 90;947408-91-5;6-[(2,4-dihydroxyphenyl)carbonyl]-2H-chromen-2-one
2932 99 00;96-82-2;4-O-beta-D-galactopyranosyl-D-gluconic acid
2932 99 00;467-55-0;3-beta-hydroxy-5-alpha-spirostan-12-one
2932 99 00;533-31-3;3,4-(methylenedioxy)phenol
2932 99 00;3308-94-9;2-(3-chloropropyl)-2-(4-fluorophenyl)-1,3-dioxolane
2932 99 00;7512-17-6;2-acetamido-2-deoxy-D-glucose
2932 99 00;7772-94-3;2-acetamido-2-deoxy-β-D-mannopyranose
2932 99 00;15826-37-6;disodium 5,5′-[(2-hydroxypropane-1,3-diyl)bis(oxy)]bis(4-oxo-4H-chromene-2-carboxylate)
2932 99 00;32981-86-5;10-deacetylbaccatin III
2932 99 00;33659-28-8;calcium bis(4-O-(beta-D-galactopyranosyl)-D-gluconate)-calcium bromide (1:1)
2932 99 00;40591-65-9;2,3,4,6-tetra-O-acetyl-beta-D-glucopyranosyl carbamimidothioate hydrobromide
2932 99 00;57999-49-2;2-(3-bromophenoxy)tetrahydropyran
2932 99 00;65293-32-5;N-β-D-glucopyranosylformamide
2932 99 00;69999-16-2;(2,3-dihydrobenzofuran-5-yl)acetic acid
2932 99 00;79944-37-9;trans-6-amino-2,2-dimethyl-1,3-dioxepan-5-ol
2932 99 00;88128-61-4;(3aS,9aS,9bR)-3a-methyl-6-[2-(2,5,5-trimethyl-1,3-dioxan-2-yl)ethyl]-1,2,4,5,8,9,9a,9b-octahydro-3aH-cyclopenta[a]naphthalene-3,7-dione
2932 99 00;99541-23-8;(1R,2S,3R,4R,5R)-4-azido-2-{[(4aR,6S,7R,8S,8aR)-7,8-bis(benzyloxy)-2-phenylhexahydropyrano[3,2-d][1,3]dioxin-6-yl]oxy}-6,8-dioxabicyclo[3.2.1]oct-3-yl acetate
2932 99 00;99541-26-1;methyl (2S,3S,4S,5S,6S)-6-{[(1S,2S,3S,4R,5R)-3-(acetyloxy)-4-azido-6,8-dioxabicyclo[3.2.1]oct-2-yl]methyl}-4,5-bis(benzyloxy)-3-hydroxytetrahydro-2H-pyran-2-carboxylate
2932 99 00;107188-34-1;2,5,7,8-tetramethyl-2-(4-nitrophenoxymethyl)-4-oxochroman-6-yl acetate
2932 99 00;107188-37-4;2-(4-aminophenoxymethyl)-2,5,7,8-tetramethyl-4-oxochroman-6-yl acetate
2932 99 00;110638-68-1;calcium bis(4-O-(beta-D-galactopyranosyl)-D-gluconate) dihydrate
2932 99 00;114869-97-5;methyl 6-O-acetyl-4-O-(2-O-acetyl-3-O-benzyl-6-methyl-α-L-idopyranuronosyl)-3-O-benzyl-2-{[(benzyloxy)carbonyl]amino}-2-deoxy-α-D-glucopyranoside
2932 99 00;115437-18-8;(2α,4α,5β,7β,10β,13β)-4-acetoxy-1,10,13-trihydroxy-9-oxo-7-[(triethylsilyl)oxy]-5,20-epoxytax-11-en-2-yl benzoate
2932 99 00;115437-21-3;(4α)-4,10-diacetoxy-1,13-dihydroxy-9-oxo-7-[(triethylsilyl)oxy]-5,20-epoxytax-11-en-2-yl benzoate
2932 99 00;117661-72-0;5-(chloromethyl)-6-methyl-1,3-benzodioxole
2932 99 00;124655-09-0;tert-butyl [(4R,6S)-6-(hydroxymethyl)-2,2-dimethyl-1,3-dioxan-4-yl]acetate
2932 99 00;125971-94-0;tert-butyl [(4R,6R)-6-(cyanomethyl)-2,2-dimethyl-1,3-dioxolan-4-yl]acetate
2932 99 00;130064-21-0;1-{2-hydroxy-4-[(tetrahydropyran-2-yl)oxy]phenyl}-2-{4-[(tetrahydropyran-2-yl)oxy]phenyl}ethan-1-one
2932 99 00;130525-58-5;methyl 5-acetamido-7,8,9-O-triacetyl-2,6-anhydro-4-azido-3,4,5-trideoxy-D-glycero-D-galacto-non-2-enonate
2932 99 00;130525-62-1;(4S,5R,6R)-5-acetamido-4-amino-6-[(1R,2R)-1,2,3-trihydroxypropyl]-5,6-dihydropyran-2-carboxylic acid
2932 99 00;136172-58-2;1,6-di-O-acetyl-2-azido-3,4-di-O-benzyl-2-deoxy-D-glucopyranose
2932 99 00;149107-93-7;(2α,4α,5β,7β,10β,13α)-4,10-diacetoxy-13-{[(2R,3S)-3-benzamido-2-(1-methoxy-1-methylethoxy)-3-phenylpropanoyl]oxy}-1-hydroxy-9-oxo-7-[(triethylsilyl)oxy]-5,20-epoxytax-11-en-2-yl benzoate
2932 99 00;157518-70-2;(2R)-2-[(S)-2,2-dimethyl-5-oxo-1,3-dioxolan-4-yl]-4-methylvaleric acid
2932 99 00;167256-05-5;methyl (1S,2S)-1-(1,3-benzodioxol-5-yl)-3-(2-hydroxy-4-methoxyphenyl)-5-propoxyindane-2-carboxylate
2932 99 00;170242-34-9;(S)-2-amino-5-(1,3-dioxolan-4-yl)valeric acid
2932 99 00;185954-98-7;[6(2Z,3R)]-3-O-decyl-2-deoxy-6-O-[2-deoxy-3-O-(3-metoxydecyl)-6-methyl-2-[(1-oxo-11-octadecenyl)amino]-4-O-phosphono-β-D-glucopyranosyl]-2-[(1,3-dioxotetradecyl)amino]-α-D-glucopyranose 1-(dihydrogen phosphate) tetrasodium salt
2932 99 00;191106-49-7;methyl (1S,2S)-1-(1,3-benzodioxol-5-yl)-3-[2-(benzyloxy)-4-methoxyphenyl]-5-propoxyindane-2-carboxylate
2932 99 00;192201-93-7;2-({3-[5-(6-methoxy-1-naphthyl)-1,3-dioxan-2-yl]propyl}methylamino)-N-methylacetamide
2932 99 00;196303-01-2;(7S)-7-methyl-5-(4-nitrophenyl)-7,8-dihydro-5H-[1,3]dioxolo[4,5-g]isochromene
2932 99 00;196597-79-2;(2E)-1,2,6,7-tetrahydro-8H-indeno[5,4-b]furan-8-ylideneethanenitrile
2932 99 00;196597-80-5;2-[(8S)-1,6,7,8-tetrahydro-2H-indeno[5,4-b]furan-8-yl]ethanamine hydrochloride
2932 99 00;199796-52-6;(2α,4α,7β,10β,13α)-4,10-diacetoxy-13-({(2R,3S)-3-benzamido-2-[((4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoyl)oxy]-3-phenylpropanoyl}oxy)-1,7-dihydroxy-9-oxo-5,20-epoxytax-11-en-2-yl benzoate
2932 99 00;204254-84-2;ethyl (3aR,7R,7aR)-2,2-dimethyl-7-[(methylsulfonyl)oxy]-3a,6,7,7a-tetrahydro-1,3-benzodioxole-5-carboxylate
2932 99 00;274693-53-7;benzyl [(3aS,4R,6S,6aR)-6-hydroxy-2,2-dimethyltetrahydro-3aH-cyclopenta[d][1,3]dioxol-4-yl]carbamate
2932 99 00;452342-08-4;(1R)-2-(benzylamino)-1-(2,2-dimethyl-4H-1,3-benzodioxin-6-yl)ethanol
2932 99 00;461432-25-7;(1S)-2,3,4,6-tetra-O-acetyl-1,5-anhydro-1-[4-chloro-3-(4-ethoxybenzyl)phenyl]-D-glucitol
2932 99 00;666860-59-9;2-amino-2-oxoethyl {3-[trans-5-(6-methoxynaphthalen-1-yl)-1,3-dioxan-2-yl]propyl}carbamate
2932 99 00;959624-24-9;6-(hydroxymethyl)-4-phenyl-3,4-dihydro-2H-chromen-2-ol
2932 99 00;960404-59-5;but-2-yne-1,4-diol-methyl 1-C-[4-chloro-3-(4-ethoxybenzyl)phenyl]-α-D-glucopyranoside (1:1)
2933 11 90;6150-97-6;magnesium bis[(2,3-dihydro-1,5-dimethyl-3-oxo-2-phenyl-1H-pyrazol-4-yl)methylamino]methanesulfonate
2933 19 90;3736-92-3;1,2-diphenyl-4-(2-phenylthioethyl)pyrazolidine-3,5-dione
2933 19 90;775445;pyrazole-1-carboxamidine hydrochloride
2933 19 90;18048-64-1;2-(3,4-dimethylphenyl)-5-methyl-2,4-dihydro-3H-pyrazol-3-one
2933 19 90;27511-79-1;3-aminopyrazole-4-carboxamide hemisulfate
2933 19 90;59194-35-3;N′1-methyl-1H-pyrazole-1-carboxamidine hydrochloride
2933 19 90;139756-01-7;1-methyl-4-nitro-3-propylpyrazole-5-carboxamide
2933 19 90;334828-10-3;4-amino-5-ethyl-1-(2-methoxyethyl)pyrazole-3-carboxamide
2933 19 90;473921-12-9;5-{[3,5-diethyl-1-(2-hydroxyethyl)-1H-pyrazol-4-yl]oxy}benzene-1,3-dicarbonitrile
2933 19 90;1028026-83-6;5-methyl-1-(propan-2-yl)-4-[4-(propan-2-yloxy)benzyl]-1,2-dihydro-3H-pyrazol-3-one
2933 19 90;1035675-24-1;3-(4-chlorophenyl)-N-methyl-4-phenyl-4,5-dihydro-1H-pyrazole-1-carboximidamide
2933 19 90;1035677-60-1;(4S)-3-(4-chlorophenyl)-N-methyl-4-phenyl-4,5-dihydro-1H-pyrazole-1-carboximidamide 2,3-dihydroxybutanedioate
2933 21 00;186462-71-5;(1R,2R,5S,6R)-2′,5′-dioxospiro[bicyclo[3.1.0]hexane-2,4′-imidazolidine]-6-carboxylic acid
2933 29 90;696-23-1;2-methyl-4-nitroimidazole
2933 29 90;822-36-6;4-methylimidazole
2933 29 90;4897-25-0;5-chloro-1-methyl-4-nitroimidazole
2933 29 90;24155-42-8;1-(2,4-dichlorophenyl)-2-imidazol-1-ylethanol
2933 29 90;57531-37-0;2-chloro-4-nitro-1H-imidazole
2933 29 90;65902-59-2;2-bromo-4-nitro-1H-imidazole
2933 29 90;68282-49-5;2-butylimidazole-5-carbaldehyde
2933 29 90;68283-19-2;(2-butylimidazol-5-yl)methanol
2933 29 90;83857-96-9;2-butyl-5-chloro-1H-imidazole-4-carbaldehyde
2933 29 90;99614-02-5;1,2,3,4-tetrahydro-9-methyl-3-(2-methyl-1H-imidazol-1-ylmethyl)carbazol-4-one
2933 29 90;109425-51-6;N 2-[(9H-fluoren-9-ylmethoxy)carbonyl]-N-trityl-L-histidine
2933 29 90;130804-35-2;1-[5-(4,5-diphenylimidazol-2-ylthio)pentyl]-1-heptyl-3-(2,4-difluorophenyl)urea
2933 29 90;133909-99-6;2-butyl-4-chloro-1-[2′-(2-trityl-2H-tetrazol-5-yl)biphenyl-4-ylmethyl]-1H-imidazol-5-ylmethanol
2933 29 90;138401-24-8;4′-[(2-butyl-4-oxo-1,3-diazaspiro[4.4]non-1-en-3-yl)methyl]biphenyl-2-carbonitrile
2933 29 90;150097-92-0;methyl 5-pentafluoroethyl-2-propylimidazole-4-carboxylate
2933 29 90;151012-31-6;3-(4-bromobenzyl)-2-butyl-4-chloro-1H-imidazol-5-ylmethanol
2933 29 90;151257-01-1;2-butyl-1,3-diazaspiro[4.4]non-1-en-4-one hydrochloride
2933 29 90;152074-97-0;L-α-aspartyl-L-α-glutamyl-L-asparaginyl-L-prolyl-L-valyl-L-valyl-L-histidyl-L-phenylalanyl-L-phenylalanyl-L-lysyl-L-asparaginyl-L-isoleucyl-L-valyl-L-threonyl-L-prolyl-L-arginyl-L-threonine
2933 29 90;152146-59-3;4-(2-butyl-5-formylimidazol-1-ylmethyl)benzoic acid
2933 29 90;178982-67-7;2-[(benzyloxy)methyl]-4-isopropylimidazole
2933 29 90;244191-88-6;N-acetyl-O-tert-butyl-L-tyrosyl-O-tert-butyl-L-threonyl-O-tert-butyl-L-seryl-L-leucyl-L-isoleucyl-N 1-trityl-L-histidyl-O-tert-butyl-L-seryl-L-leucyl-L-isoleucyl-α-L-glutamyl-α-L-glutamyl-O-tert-butyl-L-seryl-N-trityl-L-glutaminyl-N-trityl-L-asparaginyl-N-trityl-L-glutaminyl-L-glutamine, 10,11-di-tert-butyl ester
2933 29 90;244244-26-6;N-acetyl-O-tert-butyl-L-tyrosyl-O-tert-butyl-L-threonyl-O-tert-butyl-L-seryl-L-leucyl-L-isoleucyl-N 1-trityl-L-histidyl-O-tert-butyl-L-seryl-L-leucyl-L-isoleucyl-α-L-glutamyl-α-L-glutamyl-O-tert-butyl-L-seryl-N-trityl-L-glutaminyl-N-trityl-L-asparaginyl-N-trityl-L-glutaminyl-L-glutaminyl-α-L-glutamyl-N 6-(tert-butoxycarbonyl)-L-lysyl-N-trityl-L-asparaginyl-α-L-glutamyl-N-trityl-L-glutaminyl-α-L-glutamyl-L-leucyl-L-leucyl-α-L-glutamyl-L-leucyl-α-L-aspartyl-N 6-(tert-butoxycarbonyl)-L-lysyl-N 1-(tert-butoxycarbonyl)-L-tryptophyl-L-alanyl-O-tert-butyl-L-seryl-L-leucyl-N 1-(tert-butoxycarbonyl)-L-tryptophyl-N-trityl-L-asparaginyl-N 1-(tert-butoxycarbonyl)-L-tryptophyl-L-phenylalaninamide, hepta-tert-butyl ester
2933 29 90;451470-33-0;methyl 3′-(2-methyl-4,5-dihydro-1H-imidazol-1-yl)biphenyl-3-carboxylate
2933 29 90;781666-30-6;L-α-aspartyl-L-α-glutamyl-L-asparaginyl-L-prolyl-L-valyl-L-valyl-L-histidyl-L-phenylalanyl-L-phenylalanyl-L-lysyl-L-asparaginyl-L-isoleucyl-L-valyl-L-threonyl-L-prolyl-L-arginyl-L-threonine tetraacetate
2933 29 90;1000164-35-1;3-(1,1-dimethylethyl)-N-[(9H-fluoren-9-ylmethoxy)carbonyl]-1-(triphenylmethyl)-L-histidyl-2-methylalanyl-L-α-glutamylglycine
2933 39 99;0-00-0;(3aR,6aR)-1-(pyridin-3-yl)octahydropyrrolo[3,4-b]pyrrole 4-methylbenzenesulfonate
2933 39 99;0-00-0;11-ethyl-5-methyl-8-{2-[(1-oxo-1λ4-quinolin-4-yl)oxy]ethyl}-11H-dipyrido[3,2-b:2′,3′-e][1,4]diazepin-6(5H)-one
2933 39 99;0-00-0;4-(4-fluorobenzoyl)pyridinium p-toluenesulfonate
2933 39 99;0-00-0;N-[(S)-1-azabicyclo[2.2.2]oct-2-yl(phenyl)methyl]-2,6-dichloro-3-(trifluoromethyl)benzamide hydrochloride
2933 39 99;0-00-0;3-ethyl 5-methyl (±)-4-(2-chlorophenyl)-1,4-dihydro-2-[2-(1,3-dioxoisoindolin-2-yl)ethoxymethyl]pyridine-3,5-dicarboxylate
2933 39 99;100-76-5;quinuclidine
2933 39 99;875-35-4;2,6-dichloro-4-methylnicotinonitrile
2933 39 99;1072-98-6;5-chloropyridin-2-amine
2933 39 99;1452-94-4;ethyl 2-chloronicotinate
2933 39 99;1609-66-1;N-phenyl-N-(4-piperidyl)propionamide
2933 39 99;1619-34-7;quinuclidin-3-ol
2933 39 99;2008-75-5;1-(2-chloroethyl)piperidinium chloride
2933 39 99;2147-83-3;1-(1,2,3,6-tetrahydro-4-pyridyl)-1H-benzimidazol-2(3H)-one
2933 39 99;2942-59-8;2-chloronicotinic acid
2933 39 99;3613-73-8;2,8-dimethyl-5-[2-(6-methylpyridin-3-yl)ethyl]-2,3,4,5-tetrahydro-1H-pyrido[4,3-b]indole
2933 39 99;774864;3-methylpyridine-2-carboxylic acid
2933 39 99;4046-24-6;5-(1-methyl-4-piperidyl)-5H-dibenzo[a,d]cyclohepten-5-ol hydrochloride
2933 39 99;4783-86-2;4-phenoxypyridine
2933 39 99;5005-36-7;2-phenyl-2-pyridylacetonitrile
2933 39 99;1213856;2-(5-ethyl-2-pyridyl)ethanol
2933 39 99;5326-23-8;6-chloronicotinic acid
2933 39 99;5382-23-0;4-chloro-1-methylpiperidine hydrochloride
2933 39 99;5421-92-1;1-(pyridin-4-yl)pyridinium chloride hydrochloride
2933 39 99;1287423;2,2-diphenyl-4-piperidinovaleronitrile
2933 39 99;5435-54-1;3-nitro-4-pyridone
2933 39 99;6298-19-7;2-chloro-3-pyridylamine
2933 39 99;6622-91-9;4-pyridylacetic acid hydrochloride
2933 39 99;6935-27-9;benzyl(2-pyridyl)amine
2933 39 99;7379-35-3;4-chloropyridine hydrochloride
2933 39 99;19130-96-2;(2R,3R,4R,5S)-2-(hydroxymethyl)piperidine-3,4,5-triol
2933 39 99;19395-39-2;2-phenyl-2-piperidin-2-ylacetamide
2933 39 99;19395-41-6;2-phenyl-2-(2-piperidyl)acetic acid
2933 39 99;20662-53-7;1-(4-piperidyl)-1H-benzimidazol-2(3H)-one
2933 39 99;21472-89-9;(±)-1-azabicyclo[2.2.1]heptan-3-one
2933 39 99;22065-85-6;1-benzylpiperidine-4-carbaldehyde
2933 39 99;25333-42-0;(3R)-quinuclidin-3-ol
2933 39 99;26815-04-3;4-(2-piperidin-1-ylethoxy)benzaldehyde
2933 39 99;27262-47-1;(S)-1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide
2933 39 99;29976-53-2;ethyl 4-oxopiperidine-1-carboxylate
2933 39 99;31255-57-9;3-[2-(3-chlorophenyl)ethyl]pyridine-2-carbonitrile
2933 39 99;32998-95-1;N-(tert-butyl)-3-methylpyridine-2-carboxamide
2933 39 99;35794-11-7;3,5-dimethylpiperidine
2933 39 99;37699-43-7;2,3-dimethyl-4-nitropyridine 1-oxide
2933 39 99;38092-89-6;8-chloro-6,11-dihydro-11-(1-methyl-4-piperidylidene)-5H-benzo[5,6]cyclohepta[1,2-b]pyridine
2933 39 99;39512-49-7;4-(4-chlorophenyl)piperidin-4-ol
2933 39 99;40807-61-2;4-phenylpiperidin-4-ol
2933 39 99;43076-30-8;1-(4-tert-butylphenyl)-4-[4-(alpha-hydroxybenzhydryl)piperidino]butan-1-one
2933 39 99;43200-82-4;6-(5-chloropyridin-2-yl)-5H-pyrrolo[3,4-b]pyrazine-5,7(6H)-dione
2933 39 99;49608-01-7;ethyl 6-chloronicotinate
2933 39 99;53786-28-0;5-chloro-1-(4-piperidyl)-1H-benzimidazol-2(3H)-one
2933 39 99;53786-45-1;ethyl 4-(2-amino-4-chloroanilino)piperidine-1-carboxylate
2933 39 99;53786-46-2;ethyl 4-(5-chloro-2,3-dihydro-2-oxo-1H-benzimidazol-2-yl)piperidine-1-carboxylate
2933 39 99;56488-00-7;3-(cyanoimino)-3-piperidinopropiononitrile
2933 39 99;56880-11-6;ethyl [(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl]acetate
2933 39 99;57988-58-6;4-(4-bromophenyl)piperidin-4-ol
2933 39 99;58859-46-4;ethyl 4-aminopiperidine-1-carboxylate
2933 39 99;61380-02-7;1-benzyl-4-(methoxymethyl)-N-phenyl-4-piperidylamine
2933 39 99;65326-33-2;2-amino-3-pyridyl methyl ketone
2933 39 99;70708-28-0;1-(2-pyridyl)-3-(pyrrolidin-1-yl)-1-(p-tolyl)propan-1-ol
2933 39 99;77145-61-0;1-(6-chloro-2-pyridyl)-4-piperidylamine hydrochloride
2933 39 99;78750-61-5;4-[(3-nitropyridin-2-yl)amino]phenol
2933 39 99;78750-68-2;4-[(3-aminopyridin-2-yl)amino]phenol
2933 39 99;82671-06-5;2,6-dichloro-5-fluoronicotinic acid
2933 39 99;83556-85-8;1-(3-chloropropyl)-2,6-dimethylpiperidinium chloride
2933 39 99;83949-32-0;4-carboxy-4-phenylpiperidinium p-toluenesulfonate
2933 39 99;84100-54-9;4-(ethylamino)piperidine-4-carboxamide
2933 39 99;84196-16-7;N-[4-(methoxymethyl)-4-piperidyl]-N-phenylpropionamide hydrochloride
2933 39 99;84449-80-9;1-[2-(4-carboxyphenoxy)ethyl]piperidinium chloride
2933 39 99;84449-81-0;4-(2-piperidin-1-ylethoxy)benzoyl chloride hydrochloride
2933 39 99;84501-68-8;ethyl 4-[1-(4-fluorobenzyl)-1H-benzimidazol-2-ylamino]piperidine-1-carboxylate
2933 39 99;86604-78-6;4-methoxy-3,5-dimethyl-2-pyridylmethanol
2933 39 99;87848-95-1;6-bromo-2-pyridyl p-tolyl ketone
2933 39 99;88150-62-3;3-ethyl 5-methyl 4-(2-chlorophenyl)-2-{[2-(1,3-dioxo-1,3-dihydro-2H-isoindol-2-yl)ethoxy]methyl}-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate
2933 39 99;100238-42-4;4-(2-piperidin-1-ylethoxy)phenol
2933 39 99;101904-56-7;4-(5H-dibenzo[a,d]cyclohepten-5-yl)piperidine
2933 39 99;103577-66-8;3-methyl-4-(2,2,2-trifluoroethoxy)-2-pyridylmethanol
2933 39 99;104860-26-6;cis-1-[3-(4-fluorophenoxy)propyl]-3-methoxy-4-piperidylamine
2933 39 99;104860-73-3;4-amino-5-chloro-N-{1-[3-(4-fluorophenoxy)propyl]-3-methoxy-4-piperidyl}-2-methoxybenzamide
2933 39 99;105812-81-5;[(3S,4R)-4-(4-fluorophenyl)-1-methylpiperidin-3-yl]methanol
2933 39 99;107256-31-5;3-[2-(3-chlorophenyl)ethyl]-2-pyridyl 1-methyl-4-piperidyl ketone hydrochloride
2933 39 99;108555-25-5;1-[2-(4-methoxyphenyl)ethyl]-4-piperidylamine dihydrochloride
2933 39 99;118175-10-3;[4-(3-methoxypropoxy)-3-methyl-2-pyridyl]methanol
2933 39 99;120014-07-5;2-[(1-benzyl-4-piperidyl)methylene]-5,6-dimethoxyindan-1-one
2933 39 99;122321-04-4;2-[methyl(pyridin-2-yl)amino]ethanol
2933 39 99;127293-57-6;(1R)-1-(4-chlorophenyl)-2-[4-(4-fluorobenzyl)piperidin-1-yl]ethan-1-ol
2933 39 99;139781-09-2;5,5-bis(4-pyridylmethyl)-5H-cyclopenta[2,1-b:3,4-b′]dipyridine hydrate
2933 39 99;139886-04-7;1-methyl-1,2,5,6-tetrahydropyridine-3-carbaldehyde (E)-O-methyloxime hydrochloride
2933 39 99;142034-92-2;(1S,3S,4S)-1-azabicyclo[2.2.1]heptan-3-ol
2933 39 99;142034-97-7;(1R,4S)-1-azabicyclo[2.2.1]heptan-3-one
2933 39 99;142057-79-2;(RS)-2-[(1-benzyl-4-piperidyl)methyl]-5,6-dimethoxyindan-1-one
2933 39 99;153050-21-6;(S)-1-{2-[3-(3,4-dichlorophenyl)-1-(3-isopropoxyphenacyl)-3-piperidyl]ethyl}-4-phenyl-1-azoniabicyclo[2.2.2]octane chloride
2933 39 99;157688-46-5;2-[1-(tert-butoxycarbonyl)-4-piperidyl]acetic acid
2933 39 99;158878-47-8;(3R,5R)-3-{(E)-2-[4-(4-fluorophenyl)-2,6-diisopropyl-5-(methoxymethyl)pyridin-3-yl]vinyl}-5-hydroxycyclohexan-1-one
2933 39 99;159813-78-2;(3R,5S,6E)-7-[4-(4-fluorophenyl)-2,6-diisopropyl-5-(methoxymethyl)pyridin-3-yl]-3,5-dihydroxyhept-6-enoic acid
2933 39 99;160588-45-4;10,10-bis[(2-fluoro-4-pyridyl)methyl]anthrone
2933 39 99;161417-03-4;2-methyl-3-((2S)-pyrrolidin-2-ylmethoxy)pyridine
2933 39 99;171764-07-1;(S)-2-amino-3,3-dimethyl-N-2-pyridylbutyramide
2933 39 99;173050-51-6;(R)-N-(1-{3-[1-benzoyl-3-(3,4-dichlorophenyl)-3-piperidyl]propyl}-4-phenyl-4-piperidyl)-N-methylacetamide hydrochloride
2933 39 99;176381-97-8;(S)-N-[4-(4-acetamido-4-phenyl-1-piperidyl)-2-(3,4-dichlorophenyl)butyl]-N-methylbenzamide-fumaric acid (1:1)
2933 39 99;177964-68-0;3-[4-(4-fluorophenyl)-2,6-diisopropyl-5-(methoxymethyl)pyridin-3-yl]acrylaldehyde
2933 39 99;178460-82-7;(1R)-1-(4-chlorophenyl)-2-[4-(4-fluorobenzyl)piperidin-1-yl]ethan-1-ol hydrochloride
2933 39 99;178981-89-0;{5-[(3,5-dichlorophenyl)sulfanyl]-4-isopropyl-1-(pyridin-4-ylmethyl)imidazol-2-yl}methanol
2933 39 99;179024-48-7;N-[(R)-9-methyl-4-oxo-1-phenyl-3,4,6,7-tetrahydro[1,4]diazepino[6,7,1-hi]indol-3-yl]isonicotinamide
2933 39 99;179687-79-7;2-[(2-chloro-4-nitrophenoxy)methyl]pyridine
2933 39 99;180050-34-4;(1S,4R)-1-azabicyclo[2.2.1]heptan-3-one O-[(Z)-(3-methoxyphenyl)ethynyl]oxime-maleic acid (1:1)
2933 39 99;180250-77-5;(2S,3S)-3-amino-2-ethoxy-N-nitropiperidine-1-carboxamidine hydrochloride
2933 39 99;188396-54-5;1-(2-biphenyl-4-ylethyl)-4-[3-(trifluoromethyl)phenyl]-1,2,3,6-tetrahydropyridine hydrochloride
2933 39 99;188591-61-9;1-(4-benzyloxyphenyl)-2-(4-hydroxy-4-phenyl-1-piperidyl)propan-1-one
2933 39 99;189894-57-3;1-[(1S,2S)-2-hydroxy-2-(4-hydroxyphenyl)-1-methylethyl]-4-phenylpiperidin-4-ol methanesulfonate trihydrate
2933 39 99;192329-80-9;4-(4-pyridyloxy)benzenesulfonic acid
2933 39 99;192330-49-7;4-(4-pyridyloxy)benzenesulfonyl chloride hydrochloride
2933 39 99;193275-85-3;4-{4-[(11S)-3,10-dibromo-8-chloro-5,6-dihydro-11H-benzo[5,6]cyclohepta[1,2-b]pyridin-11-yl]piperidinocarbonylmethyl}piperidine-1-carboxamide
2933 39 99;198904-85-7;tert-butyl 2-(4-pyridin-2-ylbenzyl)hydrazine-1-carboxylate
2933 39 99;198904-86-8;tert-butyl 2-{(2S,3S)-3-[(tert-butoxycarbonyl)amino]-2-hydroxy-4-phenylbutyl}-2-[4-(pyridin-2-yl)benzyl]hydrazine-1-carboxylate
2933 39 99;213839-64-6;N-{2-[5-(aminoiminomethyl)-2-hydroxyphenoxy]-3,5-difluoro-6-[3-(1-methyl-4,5-dihydroimidazol-2-yl)phenoxy]pyridin-4-yl]-N-methylglycine dihydrochloride
2933 39 99;221180-26-3;4-amino-5-chloro-2-methoxy-N-(3-methoxypiperidin-4-yl)benzamide
2933 39 99;221615-75-4;2-(4-mesylphenyl)-1-(6-methylpyridin-3-yl)ethan-1-one
2933 39 99;230615-52-8;2,3,4,5-tetrahydro-1H-1,5-methano-3-benzazepine hydrochloride
2933 39 99;230615-59-5;7,8-dinitro-3-(trifluoroacetyl)-2,3,4,5-tetrahydro-1H-1,5-methano-3-benzazepine
2933 39 99;272776-12-2;1,1′-binaphthalene-2,2′-diol-5-methoxy-2-{(S)-[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulfinyl}-1H-benzimidazole (1:1)
2933 39 99;280129-82-0;4-({2-[(benzyloxy)methyl]-4-isopropylimidazol-1-yl}methyl)pyridine oxalate (1:2)
2933 39 99;298692-34-9;6-(chloroacetyl)pyridine-2-carboxylic acid
2933 39 99;319460-94-1;N-(2-fluoro-5-{[3-((E)-2-pyridin-2-ylvinyl)-1H-indazol-6-yl]amino}phenyl)-1,3-dimethylpyrazole-5-carboxamide
2933 39 99;329003-65-8;sodium hydrogen [1-hydroxy-1-phosphono-2-(pyridin-3-yl)ethyl]phosphonate hemipentahydrate
2933 39 99;334618-23-4;(3R)-piperidin-3-amine dihydrochloride
2933 39 99;370882-57-8;(3aR,6aR)-1-(pyridin-3-yl)octahydropyrrolo[3,4-b]pyrrole dihydrochloride
2933 39 99;414909-98-1;benzyl 2-(4-fluoro-2-methylphenyl)-4-oxo-3,4-dihydropyridine-1(2H)-carboxylate
2933 39 99;414910-13-7;(2S)-hydroxy(phenyl)ethanoic acid–(2R)-2-(4-fluoro-2-methylphenyl)piperidin-4-one (1:1)
2933 39 99;423165-13-3;8-benzyl-3-exo-(3-isopropyl-5-methyl-4H-1,2,4-triazol-4-yl)-8-azabicyclo[3.2.1]octane
2933 39 99;429659-01-8;ethyl N-[4-(methylamino)-3-nitrobenzoyl]-N-pyridin-2-yl-ß-alaninate
2933 39 99;440634-25-3;tert-butyl 4-{2-[4-(mesyloxy)piperidin-1-yl]-2-oxoethyl}piperidine-1-carboxylate
